Year,Sex,Type,Cancer_Type,Age_0_to_4,Age_5_to_9,Age_10_to_14,Age_15_to_19,Age_20_to_24,Age_25_to_29,Age_30_to_34,Age_35_to_39,Age_40_to_44,Age_45_to_49,Age_50_to_54,Age_55_to_59,Age_60_to_64,Age_65_to_69,Age_70_to_74,Age_75_to_79,Age_80_to_84,Age_85+,Age_Unknown,Total
1993,Male,Incidence,Acute lymphoblastic leukaemia,44,22,12,17,3,6,4,9,4,5,2,5,3,4,1,1,3,3,0,148
1994,Male,Incidence,Acute lymphoblastic leukaemia,43,20,11,16,4,3,11,4,5,3,4,5,6,7,4,6,1,5,0,158
1995,Male,Incidence,Acute lymphoblastic leukaemia,40,24,11,13,7,3,4,3,4,4,1,2,2,0,2,4,1,3,0,128
1996,Male,Incidence,Acute lymphoblastic leukaemia,40,30,16,14,7,4,5,6,5,4,3,1,4,5,5,6,2,1,0,158
1997,Male,Incidence,Acute lymphoblastic leukaemia,33,21,15,11,6,6,3,8,2,7,2,3,4,2,6,2,2,5,0,138
1998,Male,Incidence,Acute lymphoblastic leukaemia,41,28,12,19,11,7,8,3,7,9,5,7,5,9,8,1,5,0,0,185
1999,Male,Incidence,Acute lymphoblastic leukaemia,49,20,12,15,6,5,6,5,5,4,4,5,5,3,8,4,4,4,0,164
2000,Male,Incidence,Acute lymphoblastic leukaemia,51,23,13,16,12,5,5,4,5,4,2,5,6,6,3,2,6,2,0,170
2001,Male,Incidence,Acute lymphoblastic leukaemia,49,31,18,13,7,5,5,6,4,5,8,7,3,4,3,5,0,1,0,174
2002,Male,Incidence,Acute lymphoblastic leukaemia,37,30,16,11,4,4,4,2,6,1,9,4,9,5,5,5,4,2,0,158
2003,Male,Incidence,Acute lymphoblastic leukaemia,56,26,16,16,10,2,4,3,5,6,7,1,7,4,5,3,3,5,0,179
2004,Male,Incidence,Acute lymphoblastic leukaemia,62,28,15,13,10,5,6,7,4,3,9,3,3,3,3,5,4,2,0,185
2005,Male,Incidence,Acute lymphoblastic leukaemia,46,30,23,11,4,4,5,8,2,2,7,9,2,5,7,5,3,1,0,174
2006,Male,Incidence,Acute lymphoblastic leukaemia,42,16,25,13,8,6,5,4,2,5,6,5,5,6,8,2,3,2,0,163
2007,Male,Incidence,Acute lymphoblastic leukaemia,59,22,20,20,6,5,5,7,5,6,2,3,8,0,5,2,3,1,0,179
2008,Male,Incidence,Acute lymphoblastic leukaemia,42,23,20,16,12,4,4,6,3,8,5,8,10,4,5,5,4,0,0,179
2009,Male,Incidence,Acute lymphoblastic leukaemia,51,24,22,17,3,5,4,1,7,3,5,6,2,5,4,6,1,4,0,170
2010,Male,Incidence,Acute lymphoblastic leukaemia,43,33,21,16,10,11,7,8,1,5,3,6,8,6,6,2,3,2,0,191
2011,Male,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,0
1968,Female,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,0
1969,Female,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,0
1970,Female,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,0
1971,Female,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,0
1972,Female,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,0
1973,Female,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,0
1974,Female,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,0
1975,Female,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,0
1976,Female,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,0
1977,Female,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,0
1978,Female,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,0
1979,Female,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,0
1980,Female,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,0
1981,Female,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,0
1982,Female,Incidence,Acute lymphoblastic leukaemia,39,16,10,5,2,3,2,2,0,2,2,0,3,4,0,0,4,1,0,95
1983,Female,Incidence,Acute lymphoblastic leukaemia,24,12,9,2,2,4,3,3,2,0,0,0,4,3,4,3,1,2,0,78
1984,Female,Incidence,Acute lymphoblastic leukaemia,31,20,7,11,5,1,3,0,1,1,1,3,2,2,3,1,1,0,0,93
1985,Female,Incidence,Acute lymphoblastic leukaemia,35,10,13,5,3,1,3,1,0,2,2,3,3,3,3,6,1,2,0,96
1986,Female,Incidence,Acute lymphoblastic leukaemia,38,13,9,6,2,4,3,5,1,1,2,3,1,1,1,0,0,3,0,93
1987,Female,Incidence,Acute lymphoblastic leukaemia,38,16,7,5,3,2,3,1,3,0,1,3,3,3,2,1,1,2,0,94
1988,Female,Incidence,Acute lymphoblastic leukaemia,31,17,9,6,4,2,1,2,3,4,0,4,3,2,2,1,3,1,0,95
1989,Female,Incidence,Acute lymphoblastic leukaemia,26,15,12,6,2,3,1,3,1,0,2,3,1,3,2,2,3,3,0,88
1990,Female,Incidence,Acute lymphoblastic leukaemia,35,15,9,9,5,4,1,2,0,1,3,2,1,3,4,6,4,1,0,105
1991,Female,Incidence,Acute lymphoblastic leukaemia,32,19,9,7,7,4,0,3,2,0,3,2,2,6,3,5,2,2,0,108
1992,Female,Incidence,Acute lymphoblastic leukaemia,40,15,10,8,5,5,10,1,3,0,2,4,3,5,6,4,1,6,0,128
1993,Female,Incidence,Acute lymphoblastic leukaemia,40,15,7,7,4,4,2,5,3,4,2,4,2,3,3,4,4,3,0,116
1994,Female,Incidence,Acute lymphoblastic leukaemia,45,19,7,3,6,3,5,1,3,3,2,4,2,2,2,4,4,2,0,117
1995,Female,Incidence,Acute lymphoblastic leukaemia,39,18,11,6,2,1,3,3,1,1,4,0,2,3,2,3,2,4,0,105
1996,Female,Incidence,Acute lymphoblastic leukaemia,42,26,14,7,2,5,3,3,2,1,2,3,0,3,7,4,4,3,0,131
1997,Female,Incidence,Acute lymphoblastic leukaemia,41,11,16,5,4,4,2,6,3,3,4,3,3,4,0,2,0,4,0,115
1998,Female,Incidence,Acute lymphoblastic leukaemia,36,23,11,6,4,3,2,4,5,0,6,6,4,5,6,2,7,4,0,134
1999,Female,Incidence,Acute lymphoblastic leukaemia,36,16,19,13,1,3,6,4,1,5,2,3,4,3,5,5,6,0,0,132
2000,Female,Incidence,Acute lymphoblastic leukaemia,42,16,12,9,1,0,3,4,7,1,6,6,1,5,8,3,6,5,0,135
2001,Female,Incidence,Acute lymphoblastic leukaemia,36,26,16,3,0,7,3,1,5,4,2,5,1,1,2,7,4,5,0,128
2002,Female,Incidence,Acute lymphoblastic leukaemia,38,24,13,4,3,7,7,2,1,5,6,3,7,6,2,7,5,6,0,146
2003,Female,Incidence,Acute lymphoblastic leukaemia,42,29,11,7,1,0,3,1,7,0,7,6,3,6,6,5,4,4,0,142
2004,Female,Incidence,Acute lymphoblastic leukaemia,54,19,15,5,4,3,2,3,5,4,5,5,6,4,7,5,4,4,0,154
2005,Female,Incidence,Acute lymphoblastic leukaemia,25,13,14,12,7,6,1,4,2,3,3,3,3,6,6,3,5,5,0,121
2006,Female,Incidence,Acute lymphoblastic leukaemia,44,23,8,9,5,2,2,0,2,2,7,6,4,10,3,5,2,3,0,137
2007,Female,Incidence,Acute lymphoblastic leukaemia,50,20,9,2,6,5,4,10,4,6,7,3,3,3,2,1,1,1,0,137
2008,Female,Incidence,Acute lymphoblastic leukaemia,50,16,10,4,5,2,0,1,3,2,9,8,5,3,1,2,2,2,0,125
2009,Female,Incidence,Acute lymphoblastic leukaemia,46,17,14,5,6,2,3,2,4,7,6,1,12,5,6,2,2,1,0,141
2010,Female,Incidence,Acute lymphoblastic leukaemia,46,19,10,8,2,6,4,4,3,3,6,3,2,4,2,2,3,2,0,129
2011,Female,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,0
1968,Persons,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,0
1969,Persons,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,0
1970,Persons,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,0
1971,Persons,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,0
1972,Persons,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,0
1973,Persons,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,0
1974,Persons,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,0
1975,Persons,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,0
1976,Persons,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,0
1977,Persons,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,0
1978,Persons,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,0
1979,Persons,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,0
1980,Persons,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,0
1981,Persons,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,0
1982,Persons,Incidence,Acute lymphoblastic leukaemia,81,41,24,19,7,5,7,5,1,2,2,1,10,6,3,4,5,1,0,224
1983,Persons,Incidence,Acute lymphoblastic leukaemia,65,30,20,6,8,9,6,4,2,1,2,0,4,6,6,8,7,4,0,188
1984,Persons,Incidence,Acute lymphoblastic leukaemia,80,38,17,21,13,2,4,2,3,4,2,7,8,4,7,3,3,1,0,219
1985,Persons,Incidence,Acute lymphoblastic leukaemia,94,27,28,18,10,3,9,6,1,4,6,7,6,10,6,10,2,2,0,249
1986,Persons,Incidence,Acute lymphoblastic leukaemia,81,30,22,16,10,9,7,6,2,2,4,5,7,9,6,5,0,4,0,225
1987,Persons,Incidence,Acute lymphoblastic leukaemia,69,35,21,26,10,3,8,2,9,2,3,7,7,6,9,5,5,3,0,230
1988,Persons,Incidence,Acute lymphoblastic leukaemia,73,28,23,16,12,8,5,6,10,6,2,8,10,5,7,3,6,2,0,230
1989,Persons,Incidence,Acute lymphoblastic leukaemia,72,39,27,18,8,9,8,9,2,4,4,9,8,5,5,6,5,5,0,243
1990,Persons,Incidence,Acute lymphoblastic leukaemia,81,39,28,28,11,11,4,3,2,7,4,5,3,7,9,7,5,1,0,255
1991,Persons,Incidence,Acute lymphoblastic leukaemia,83,46,24,15,16,9,1,4,6,5,6,2,7,11,5,8,4,2,0,254
1992,Persons,Incidence,Acute lymphoblastic leukaemia,84,39,19,22,11,9,12,7,7,4,4,5,4,13,10,7,2,8,0,267
1993,Persons,Incidence,Acute lymphoblastic leukaemia,84,37,19,24,7,10,6,14,7,9,4,9,5,7,4,5,7,6,0,264
1994,Persons,Incidence,Acute lymphoblastic leukaemia,88,39,18,19,10,6,16,5,8,6,6,9,8,9,6,10,5,7,0,275
1995,Persons,Incidence,Acute lymphoblastic leukaemia,79,42,22,19,9,4,7,6,5,5,5,2,4,3,4,7,3,7,0,233
1996,Persons,Incidence,Acute lymphoblastic leukaemia,82,56,30,21,9,9,8,9,7,5,5,4,4,8,12,10,6,4,0,289
1997,Persons,Incidence,Acute lymphoblastic leukaemia,74,32,31,16,10,10,5,14,5,10,6,6,7,6,6,4,2,9,0,253
1998,Persons,Incidence,Acute lymphoblastic leukaemia,77,51,23,25,15,10,10,7,12,9,11,13,9,14,14,3,12,4,0,319
1999,Persons,Incidence,Acute lymphoblastic leukaemia,85,36,31,28,7,8,12,9,6,9,6,8,9,6,13,9,10,4,0,296
2000,Persons,Incidence,Acute lymphoblastic leukaemia,93,39,25,25,13,5,8,8,12,5,8,11,7,11,11,5,12,7,0,305
2001,Persons,Incidence,Acute lymphoblastic leukaemia,85,57,34,16,7,12,8,7,9,9,10,12,4,5,5,12,4,6,0,302
2002,Persons,Incidence,Acute lymphoblastic leukaemia,75,54,29,15,7,11,11,4,7,6,15,7,16,11,7,12,9,8,0,304
2003,Persons,Incidence,Acute lymphoblastic leukaemia,98,55,27,23,11,2,7,4,12,6,14,7,10,10,11,8,7,9,0,321
2004,Persons,Incidence,Acute lymphoblastic leukaemia,116,47,30,18,14,8,8,10,9,7,14,8,9,7,10,10,8,6,0,339
2005,Persons,Incidence,Acute lymphoblastic leukaemia,71,43,37,23,11,10,6,12,4,5,10,12,5,11,13,8,8,6,0,295
2006,Persons,Incidence,Acute lymphoblastic leukaemia,86,39,33,22,13,8,7,4,4,7,13,11,9,16,11,7,5,5,0,300
2007,Persons,Incidence,Acute lymphoblastic leukaemia,109,42,29,22,12,10,9,17,9,12,9,6,11,3,7,3,4,2,0,316
2008,Persons,Incidence,Acute lymphoblastic leukaemia,92,39,30,20,17,6,4,7,6,10,14,16,15,7,6,7,6,2,0,304
2009,Persons,Incidence,Acute lymphoblastic leukaemia,97,41,36,22,9,7,7,3,11,10,11,7,14,10,10,8,3,5,0,311
2010,Persons,Incidence,Acute lymphoblastic leukaemia,88,52,30,24,11,17,11,12,4,8,9,10,11,9,8,4,6,4,0,318
2011,Persons,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,0
1968,Male,Mortality,Acute lymphoblastic leukaemia,10,10,4,3,4,2,0,1,1,0,1,3,1,2,2,0,1,1,0,46
1969,Male,Mortality,Acute lymphoblastic leukaemia,14,12,15,4,3,3,0,0,1,1,1,2,4,2,5,3,2,0,0,72
1970,Male,Mortality,Acute lymphoblastic leukaemia,15,17,5,6,6,1,1,2,0,2,1,3,4,4,3,3,0,0,0,73
1971,Male,Mortality,Acute lymphoblastic leukaemia,21,24,11,2,3,1,1,0,3,1,1,6,3,1,2,2,2,1,0,85
1972,Male,Mortality,Acute lymphoblastic leukaemia,18,20,8,4,1,3,3,0,2,1,2,2,1,3,1,2,2,1,0,74
1973,Male,Mortality,Acute lymphoblastic leukaemia,13,14,7,5,3,3,0,1,0,0,2,1,2,2,4,2,1,1,0,61
1974,Male,Mortality,Acute lymphoblastic leukaemia,11,11,10,7,4,1,2,0,0,0,1,2,3,1,3,6,1,0,0,63
1975,Male,Mortality,Acute lymphoblastic leukaemia,13,14,6,13,2,0,1,1,0,0,1,0,1,1,2,4,3,1,0,63
1976,Male,Mortality,Acute lymphoblastic leukaemia,9,12,8,7,5,4,0,0,0,1,2,0,1,3,1,1,2,2,0,58
1977,Male,Mortality,Acute lymphoblastic leukaemia,11,14,7,9,1,3,2,2,1,3,0,0,0,8,2,1,1,1,0,66
1978,Male,Mortality,Acute lymphoblastic leukaemia,9,12,5,10,2,1,0,2,0,1,0,0,0,1,0,2,0,0,0,45
1979,Male,Mortality,Acute lymphoblastic leukaemia,7,10,5,6,7,1,1,0,2,2,1,3,1,0,1,2,0,0,0,49
1980,Male,Mortality,Acute lymphoblastic leukaemia,8,22,8,14,6,2,1,0,1,1,1,0,2,4,3,1,1,3,0,78
1981,Male,Mortality,Acute lymphoblastic leukaemia,8,8,9,7,1,5,2,3,1,1,2,4,3,7,2,1,1,1,0,66
1982,Male,Mortality,Acute lymphoblastic leukaemia,4,15,7,7,10,6,3,4,1,1,3,1,3,3,2,1,3,0,0,74
1983,Male,Mortality,Acute lymphoblastic leukaemia,6,13,13,11,7,0,8,1,2,1,2,4,1,6,8,1,6,2,0,92
1984,Male,Mortality,Acute lymphoblastic leukaemia,10,7,8,6,11,3,2,5,2,2,2,2,5,3,4,4,2,3,0,81
1985,Male,Mortality,Acute lymphoblastic leukaemia,6,12,10,12,8,1,3,4,1,5,1,4,4,4,6,7,3,2,0,93
1986,Male,Mortality,Acute lymphoblastic leukaemia,5,8,4,9,6,4,3,0,2,0,2,4,6,2,2,5,3,3,0,68
1987,Male,Mortality,Acute lymphoblastic leukaemia,6,8,9,8,3,6,3,2,2,1,0,0,7,4,5,3,2,3,0,72
1988,Male,Mortality,Acute lymphoblastic leukaemia,2,3,5,12,6,5,4,3,4,3,3,5,8,3,6,2,3,2,0,79
1989,Male,Mortality,Acute lymphoblastic leukaemia,1,12,6,16,5,4,2,3,0,6,2,3,5,3,1,2,2,1,0,74
1990,Male,Mortality,Acute lymphoblastic leukaemia,7,11,3,7,5,3,4,5,3,2,1,6,2,2,6,3,2,1,0,73
1991,Male,Mortality,Acute lymphoblastic leukaemia,1,9,8,10,5,1,8,1,3,0,4,1,5,2,3,4,3,0,0,68
1992,Male,Mortality,Acute lymphoblastic leukaemia,6,5,9,12,11,2,3,2,5,6,1,3,3,2,6,3,0,2,0,81
1993,Male,Mortality,Acute lymphoblastic leukaemia,5,5,2,8,4,5,2,5,2,2,3,2,1,5,6,4,4,3,0,68
1994,Male,Mortality,Acute lymphoblastic leukaemia,5,11,12,7,5,7,4,3,0,2,5,3,8,7,4,4,4,4,0,95
1995,Male,Mortality,Acute lymphoblastic leukaemia,5,12,7,9,6,2,6,5,2,3,6,2,2,3,2,6,0,3,0,81
1996,Male,Mortality,Acute lymphoblastic leukaemia,3,12,5,9,8,2,5,0,8,3,4,1,2,7,7,3,5,2,0,86
1997,Male,Mortality,Acute lymphoblastic leukaemia,3,6,5,6,8,6,2,2,1,3,1,1,3,2,6,2,3,2,0,62
1998,Male,Mortality,Acute lymphoblastic leukaemia,9,5,13,10,4,3,4,7,1,4,6,6,3,3,6,3,1,3,0,91
1999,Male,Mortality,Acute lymphoblastic leukaemia,2,11,5,12,8,7,3,6,3,5,4,5,6,2,7,3,3,3,0,95
2000,Male,Mortality,Acute lymphoblastic leukaemia,3,6,4,5,7,3,1,0,1,8,5,6,9,8,2,9,3,2,0,82
2001,Male,Mortality,Acute lymphoblastic leukaemia,3,10,3,3,6,6,6,3,2,2,0,3,5,3,3,0,3,0,0,61
2002,Male,Mortality,Acute lymphoblastic leukaemia,2,3,6,9,5,2,5,1,3,5,4,2,3,6,4,5,3,3,0,71
2003,Male,Mortality,Acute lymphoblastic leukaemia,1,6,3,0,5,1,5,4,6,6,5,4,3,7,7,4,4,5,0,76
2004,Male,Mortality,Acute lymphoblastic leukaemia,3,5,3,2,3,2,1,1,3,2,4,1,3,9,1,7,1,1,0,52
2005,Male,Mortality,Acute lymphoblastic leukaemia,3,4,4,7,4,3,4,3,3,2,6,5,1,3,7,2,2,2,0,65
2006,Male,Mortality,Acute lymphoblastic leukaemia,0,3,5,4,4,2,5,2,1,1,3,3,4,6,2,1,4,1,0,51
2007,Male,Mortality,Acute lymphoblastic leukaemia,1,1,2,8,7,0,3,1,1,0,1,5,3,2,3,2,4,4,0,48
2008,Male,Mortality,Acute lymphoblastic leukaemia,2,2,3,3,6,2,2,4,4,2,3,5,2,3,4,6,5,2,0,60
2009,Male,Mortality,Acute lymphoblastic leukaemia,1,1,1,8,2,1,1,2,2,1,2,1,7,1,2,6,2,1,0,42
2010,Male,Mortality,Acute lymphoblastic leukaemia,1,6,0,6,5,4,2,1,2,2,4,6,1,3,5,5,7,3,0,63
2011,Male,Mortality,Acute lymphoblastic leukaemia,1,3,2,7,3,1,1,2,1,2,1,0,10,7,9,5,4,1,0,60
1968,Female,Mortality,Acute lymphoblastic leukaemia,4,10,5,7,0,0,2,1,0,0,1,0,3,0,1,2,4,0,0,40
1969,Female,Mortality,Acute lymphoblastic leukaemia,13,16,2,3,1,3,1,2,0,0,1,3,1,1,2,0,5,2,0,56
1970,Female,Mortality,Acute lymphoblastic leukaemia,14,15,3,6,1,0,1,0,1,0,1,4,1,0,2,1,3,1,0,54
1971,Female,Mortality,Acute lymphoblastic leukaemia,16,22,11,5,3,1,0,0,1,0,0,1,5,0,4,0,0,1,0,70
1972,Female,Mortality,Acute lymphoblastic leukaemia,16,17,4,5,2,3,1,2,0,0,1,7,2,3,2,1,0,2,0,68
1973,Female,Mortality,Acute lymphoblastic leukaemia,9,11,9,6,2,0,0,0,1,1,0,4,0,2,1,2,5,2,0,55
1974,Female,Mortality,Acute lymphoblastic leukaemia,12,19,6,6,3,2,0,0,1,0,1,0,1,2,0,4,0,1,0,58
1975,Female,Mortality,Acute lymphoblastic leukaemia,11,11,5,5,1,2,1,0,2,0,1,1,2,0,2,1,0,0,0,45
1976,Female,Mortality,Acute lymphoblastic leukaemia,7,17,6,4,2,1,1,1,1,2,3,2,1,2,1,3,1,0,0,55
1977,Female,Mortality,Acute lymphoblastic leukaemia,10,14,8,2,1,5,0,0,3,1,0,1,2,1,2,2,1,1,0,54
1978,Female,Mortality,Acute lymphoblastic leukaemia,3,14,9,4,0,1,1,1,1,1,0,0,2,0,2,1,1,0,0,41
1979,Female,Mortality,Acute lymphoblastic leukaemia,4,15,4,4,8,2,2,1,0,0,0,2,2,1,2,0,3,1,0,51
1980,Female,Mortality,Acute lymphoblastic leukaemia,10,9,6,3,2,1,1,0,1,1,2,2,1,2,1,4,2,1,0,49
1981,Female,Mortality,Acute lymphoblastic leukaemia,5,10,8,7,2,2,3,2,0,0,0,2,0,1,5,4,1,2,0,54
1982,Female,Mortality,Acute lymphoblastic leukaemia,13,9,5,4,5,1,3,3,1,0,2,2,2,5,0,0,4,4,0,63
1983,Female,Mortality,Acute lymphoblastic leukaemia,4,5,2,2,1,2,1,2,1,2,2,0,1,3,1,0,5,2,0,36
1984,Female,Mortality,Acute lymphoblastic leukaemia,3,7,8,6,4,2,3,2,2,0,2,2,3,2,5,3,3,1,0,58
1985,Female,Mortality,Acute lymphoblastic leukaemia,7,7,5,4,3,2,2,0,0,1,1,3,2,4,2,7,1,1,0,52
1986,Female,Mortality,Acute lymphoblastic leukaemia,5,4,6,2,1,3,0,1,1,0,2,6,1,2,2,2,1,2,0,41
1987,Female,Mortality,Acute lymphoblastic leukaemia,4,3,4,10,3,3,3,2,1,2,1,2,0,3,2,2,2,4,0,51
1988,Female,Mortality,Acute lymphoblastic leukaemia,4,5,2,6,3,1,1,4,2,0,0,1,2,3,3,2,2,2,0,43
1989,Female,Mortality,Acute lymphoblastic leukaemia,2,7,11,1,5,3,2,1,2,1,3,4,1,4,3,3,4,3,0,60
1990,Female,Mortality,Acute lymphoblastic leukaemia,2,3,4,9,2,4,1,1,2,0,0,1,1,1,4,3,9,1,0,48
1991,Female,Mortality,Acute lymphoblastic leukaemia,4,5,3,2,3,2,1,2,1,0,4,3,1,8,3,5,1,3,0,51
1992,Female,Mortality,Acute lymphoblastic leukaemia,9,6,4,4,0,2,4,2,1,0,2,3,4,5,6,3,4,6,0,65
1993,Female,Mortality,Acute lymphoblastic leukaemia,9,5,6,4,6,2,3,1,7,2,1,3,4,3,4,5,10,4,0,79
1994,Female,Mortality,Acute lymphoblastic leukaemia,3,4,4,4,5,4,2,1,2,3,1,3,3,2,4,4,4,1,0,54
1995,Female,Mortality,Acute lymphoblastic leukaemia,5,6,0,3,2,2,3,1,3,2,3,2,2,3,3,7,3,6,0,56
1996,Female,Mortality,Acute lymphoblastic leukaemia,5,6,5,2,1,4,2,2,2,2,2,1,2,1,5,3,4,5,0,54
1997,Female,Mortality,Acute lymphoblastic leukaemia,3,6,4,4,2,2,1,6,3,2,5,1,5,2,3,0,1,4,0,54
1998,Female,Mortality,Acute lymphoblastic leukaemia,3,8,6,8,0,2,6,1,1,2,5,4,3,0,5,2,4,6,0,66
1999,Female,Mortality,Acute lymphoblastic leukaemia,2,3,3,5,1,4,0,1,1,0,1,1,5,4,2,3,4,1,0,41
2000,Female,Mortality,Acute lymphoblastic leukaemia,1,1,3,7,1,3,0,2,5,2,1,2,4,4,6,3,4,4,0,53
2001,Female,Mortality,Acute lymphoblastic leukaemia,3,4,1,1,3,1,5,2,5,0,1,4,3,3,4,5,5,3,0,53
2002,Female,Mortality,Acute lymphoblastic leukaemia,0,4,4,3,1,1,5,2,3,1,4,5,1,1,2,9,4,5,0,55
2003,Female,Mortality,Acute lymphoblastic leukaemia,2,2,2,3,5,4,3,3,1,2,3,3,3,5,5,3,6,5,0,60
2004,Female,Mortality,Acute lymphoblastic leukaemia,3,4,1,2,0,3,0,2,2,2,4,3,0,4,5,5,3,8,0,51
2005,Female,Mortality,Acute lymphoblastic leukaemia,2,1,4,3,0,1,3,1,1,2,3,4,3,3,3,3,4,6,0,47
2006,Female,Mortality,Acute lymphoblastic leukaemia,2,2,1,2,1,4,1,0,2,5,1,3,1,4,2,5,1,1,0,38
